label,text
a feeling that is oriented toward some real or supposed grievance,@Toucherandrich there was a US diver named steele johnson. i'd like him barred from the olympics.
a feeling that is oriented toward some real or supposed grievance,@tmz @HarveyLevinTMZ   Hell hath no fury like a women scorned.    It's the affair.  Not the parenting
a feeling that is oriented toward some real or supposed grievance,"A drunken friend of mine was beating up another friend, who was also drunk."
a feeling that is oriented toward some real or supposed grievance,"For a long time the giant felt nothing, but at last he awoke, pushed his comrade, and said: ""Why are you knocking me?"""
a feeling that is oriented toward some real or supposed grievance,@twojacksdetail @bluelivesmtr Very rare an officer just shoots without regard. They don't want that on their conscience. #incite #inflame
a feeling that is oriented toward some real or supposed grievance,She 's really riled now .
a feeling that is oriented toward some real or supposed grievance,"At last he went to the judge, and complained that a rascal had robbed him of his money, and beaten him into the bargain; and that the fellow who did it carried a bow at his back and a fiddle hung round his neck."
a feeling that is oriented toward some real or supposed grievance,I reached the bus stop and realized that I had forgotten my bus pass.
a feeling that is oriented toward some real or supposed grievance,@dragonflyeyes nick's voice still makes me wanna kill things
a feeling that is oriented toward some real or supposed grievance,I played chess with my 12-year-old brother. I made a stupid mistake - and he won!
a feeling that is oriented toward some real or supposed grievance,I bought an aquarium which made me much pleasure. I was watching the fish when my father came in and asked me how much I had payed for it. He said he would not pay for the current that it would require.
a feeling that is oriented toward some real or supposed grievance,@delta correction 26 ppl. Checked in. Standing at the gate. &amp; Flt 1449 took off without us.
a feeling that is oriented toward some real or supposed grievance,"Residential workers are faced with youngsters who are not only anxious and resentful about family events , but may also be mistrustful of those who try to help them ."
a feeling that is oriented toward some real or supposed grievance,Stupid people piss me off...busted my ass...and my coworker takes off with all the tips...thnx for nothing #angry #thatsmyluck
a feeling that is oriented toward some real or supposed grievance,I'm drawning in emails
a feeling that is oriented toward some real or supposed grievance,@caniszczyk Agreed! Though Eclipse apps hinder collecting the heap dump by catching OOME. Had to muck about in JConsole
a feeling that is oriented toward some real or supposed grievance,JV girls earn the W vs Stonington 2-1 today. Goals by K Waite and S Winakor. @DeluciaAlexis 1 assist. @mhseccathletics #relentless
a feeling that is oriented toward some real or supposed grievance,"Because it was a perfect illusion, but at least now I know what it was. #angry #ladygaga #iscalming#mysoul"
a feeling that is oriented toward some real or supposed grievance,I was angry when someone stole a magazine which I had borrowed from another friend and locked it in a drawer.
a feeling that is oriented toward some real or supposed grievance,I was angry about several drivers who showed an aggressive and dangerous driving habit.
a feeling that is oriented toward some real or supposed grievance,"When a person the same age as me insisted that I call him \Mister\"".  I refused to succumb, but he persisted and I got angry á|as he had belittled me."""
a feeling that is oriented toward some real or supposed grievance,"The woman said: ""But I have nothing but bread and cheese."""
a feeling that is oriented toward some real or supposed grievance,"A friend whom I had gone out of my way to do something for did not bother to acknowledge my efforts, and treated me badly thereafter."
a feeling that is oriented toward some real or supposed grievance,"This is not enough!"""
a feeling that is oriented toward some real or supposed grievance,"@savageimiike one of my favorite songs brother, real talk. #rage"
a feeling that is oriented toward some real or supposed grievance,And Mr. McGregor was very angry too.
a feeling that is oriented toward some real or supposed grievance,"I was mad about her being killed , mad at whoever killed her ."
a feeling that is oriented toward some real or supposed grievance,"I had a quarrel with my father, because I was of the opinion that he decided in an authoritarian way which TV program we should watch. I became very angry and started throwing things through the room."
a feeling that is oriented toward some real or supposed grievance,Philip was mad at himself for not taking the cutters off the boy .
a feeling that is oriented toward some real or supposed grievance,"His face was livid , and his hand had clapped to his sword ."
a feeling that is oriented toward some real or supposed grievance,"@pugglelover3691 some of those haters are just taught hate and not shown love. There is a good quote that goes to your comment tiff, treat"
a feeling that is oriented toward some real or supposed grievance,"She put on her many-league boots, in which she covered an hour""s walk at every step, and it was not long before she overtook them."
a feeling that is oriented toward some real or supposed grievance,"@lindentreephoto yeah, its super crap today   Stupid writing!  ugh"
a feeling that is oriented toward some real or supposed grievance,"@soviet_star Damn, that sucks"
a feeling that is oriented toward some real or supposed grievance,@AaronGoodwin seriously dude buy some bubble tape for your phones. #snap broke another phone
a feeling that is oriented toward some real or supposed grievance,"Now don't be obstinate, or I shall bite you with my white teeth.
anger,,Away, away,"" barked the old yard-dog."
a feeling that is oriented toward some real or supposed grievance,"My mother and her friends were speaking badly about my father when they were separated, and my brothers and sisters and myself were allowed to listen."
a feeling that is oriented toward some real or supposed grievance,"And now as he was walking slowly through the sand, and the sun was burning hot at noon-day, he grew quite hot-tempered and angry."
a feeling that is oriented toward some real or supposed grievance,"One day he said to himself, ""What shall I do with it? if I sell it, it will bring no more than another; and for eating, the little turnips are better than this; the best thing perhaps is to carry it and give it to the king as a mark of respect."""
a feeling that is oriented toward some real or supposed grievance,@VodafoneUKhelp @VodafoneUK wow!! My bill is £44.77 and hav a text from u to prove that and you have taken £148!!!!! #swines  #con!
a feeling that is oriented toward some real or supposed grievance,"In the University we were convoked to a stroll like a freshman I was still innocent about the manipulation. On seeing the goal of the exaltation to poor character people, I felt anger on feeling myself mass of maneuver."
a feeling that is oriented toward some real or supposed grievance,I'd rather dump gasoline all over myself and run into a burning building than use Excel.
a feeling that is oriented toward some real or supposed grievance,"She's foaming at the lips the one between her hips @realobietrice, one of many great lyrics"
a feeling that is oriented toward some real or supposed grievance,@girltrumpet yeahh  idk if i like owen anymore though... i kinda lost respect for him in an episode i recorded...
a feeling that is oriented toward some real or supposed grievance,@davenavarro6767  it so sucks not having fast internet   dial up sucks everything takes to long to load no way i would have won
a feeling that is oriented toward some real or supposed grievance,"When I was dismissed unjustly from the firm where I worked, because there where persons that didn't have problems, and wouldn't miss in the jobs they occupied if they were dismissed."
a feeling that is oriented toward some real or supposed grievance,"The reporter , whose English was stilted and hesitant , tried to get an answer from a miffed Atherton who refused saying he had already answered the same question ."
a feeling that is oriented toward some real or supposed grievance,@Bungie spent over 2 fucking hours and still can't get that dam SIVA fragment on Fellwinters peak mountain #angry
a feeling that is oriented toward some real or supposed grievance,Ew traffic
a feeling that is oriented toward some real or supposed grievance,"I jumped highest, after all, said the Flea."
a feeling that is oriented toward some real or supposed grievance,Tummy hurts  oh noes
a feeling that is oriented toward some real or supposed grievance,"Then the mannikin grew very angry and said he was to do it, but the huntsman would not, and took my dear mannikin, and gave him a thorough beating."
a feeling that is oriented toward some real or supposed grievance,"@Casper10666 I assure you there is no laughter, but increasing anger at the costs, and arrogance of Westminster."
a feeling that is oriented toward some real or supposed grievance,"Then he went out and cut willows, and brought them home, and she began to weave; but it made her fingers very sore."
a feeling that is oriented toward some real or supposed grievance,dammit @TMobile whays going on!!! 😤😤😤😤 lol #raging #smh #mobilefails
a feeling that is oriented toward some real or supposed grievance,But he has an out of date script. That's really bad. So midway thru his pitch we catch it. He gets all butthurt and storms out. His loss.
a feeling that is oriented toward some real or supposed grievance,For every minute you are angry you lose sixty seconds of happiness. - Ralph Waldo Emerson #quote
a feeling that is oriented toward some real or supposed grievance,Connie's fuming at Bake Off and went 'fuck this I'm starting on the vodka'
a feeling that is oriented toward some real or supposed grievance,"But the youth begged for a hearing, and said, ""She stole into my room in the night and questioned me, otherwise she could not have discovered it."""
a feeling that is oriented toward some real or supposed grievance,Someone spread rumours about me.
a feeling that is oriented toward some real or supposed grievance,Joes gf started singing all star and then Joe got angry and was all sing it right and started angrily singing it back at her
a feeling that is oriented toward some real or supposed grievance,Circle K is dead to me. I hate your new slushie machine. #irate #livid
a feeling that is oriented toward some real or supposed grievance,I felt angry when my friend told me that I had stolen her money.
a feeling that is oriented toward some real or supposed grievance,Why are people even debating on race inequality within our justice system like it's non existent? They're just trying to aggravate us.
a feeling that is oriented toward some real or supposed grievance,@esraalajmy huff btw ty😔
a feeling that is oriented toward some real or supposed grievance,"@jaulin Maybe you have, my memory sucks."
a feeling that is oriented toward some real or supposed grievance,"'I certainly am vexed,' said the basket; 'inwardly vexed, more than any one can imagine."
an emotion experienced in anticipation of some specific pain or danger,"But the garter was naturally shy, and did not know how to answer such a question."
a feeling that is oriented toward some real or supposed grievance,"Get away; don't come so near me,"" said the garter, ""you appear to me quite like a man."""
a feeling that is oriented toward some real or supposed grievance,Gah! I left my glasses at work and reading is giving me a headache.  I can't believe how much I need them these days.  Old age.
a feeling that is oriented toward some real or supposed grievance,#Scorpio always seek revenge!
a feeling that is oriented toward some real or supposed grievance,An argument among friends in which my opinions on the way to spend spare time were disapproved.
a feeling that is oriented toward some real or supposed grievance,i want a ghd straightener but the shipping costs 50 pounds? NO DEAL!
a feeling that is oriented toward some real or supposed grievance,"At first Anne felt indignant with Joe , but when she thought it over , realised the good sense of his warning ."
a feeling that is oriented toward some real or supposed grievance,I was waiting to receive the participation on the profits and did not receive it.
a feeling that is oriented toward some real or supposed grievance,"The day the results of the Chinese university was announced I should have been very happy; however my grandmother, because of  her prejudice and misunderstanding, started a  quarrel with my mother.  She expected me to take her side and she deliberately talked of my mother's wrong doings.  I was very angry because - one my grandmother was not being reasonable and two because it should have been a happy day and three we had moved into a new house that day."
a feeling that is oriented toward some real or supposed grievance,@tony_tr3 I'd say your outrage is the really FAUX outrage.
a feeling that is oriented toward some real or supposed grievance,"says, who are you to compared me with the others; I'm just human. #lit #fire #burning"
a feeling that is oriented toward some real or supposed grievance,Brother continually interupting while I was talking on the telephone.
a feeling that is oriented toward some real or supposed grievance,I hate that I am so stinkin tired everyday!  It's so hard to get up...I thought I was supposed to start getting energy back now.
a feeling that is oriented toward some real or supposed grievance,"How can I tell Happy Anniversary, when u are not happy..  #ampalaya #paitpaitanangpeg"
a feeling that is oriented toward some real or supposed grievance,@canada4trumpnow @donlemon he has BAD TEMPERAMENT  #HissyFits
a feeling that is oriented toward some real or supposed grievance,"I think Paul is what's bitter, not the pastry"
a feeling that is oriented toward some real or supposed grievance,I miss doing nothing someone I care about and attacking their face with kisses. #foreveralone #bitter 😩
a feeling that is oriented toward some real or supposed grievance,I was supposed to meet my girlfriend at a pre-arranged place but it took me an hour to find her.
a feeling that is oriented toward some real or supposed grievance,"When youre kawawa, you make me kawawa cuz i hate seeing you so kawawa's  ohhhhh &lt;3"
a feeling that is oriented toward some real or supposed grievance,@josephperson Cam is still rattled from the backlash he received when he made the black QB comment and suffered the wrath of White America.
a feeling that is oriented toward some real or supposed grievance,When a grown adult doesn't drink or has never drank before I just assume they were raised around a raging alcoholic and they want no parts.
a feeling that is oriented toward some real or supposed grievance,My brother accused me undeservedly before my parents. I was not guilty. He was misled by his wife.
a feeling that is oriented toward some real or supposed grievance,"Influenced by those remarks, the bird next morning refused to bring in the wood, telling the others that he had been their servant long enough, and had been a fool into the bargain, and that it was now time to make a change, and to try some other way of arranging the work."
a feeling that is oriented toward some real or supposed grievance,@1BearTruth standard bitter response .... how's it feel to be the small club in a big city
a feeling that is oriented toward some real or supposed grievance,Why does Candice constantly pout #GBBO 💄😒
a feeling that is oriented toward some real or supposed grievance,"When my friend, as usual, forgot the tickets at home for a performance.  We missed it."
a feeling that is oriented toward some real or supposed grievance,I'm really mad at the world today. Today is just a sucky day.
a feeling that is oriented toward some real or supposed grievance,@matthew_meadows Since it's a friend of Pereg's I don't want to offend :) #Peace
a feeling that is oriented toward some real or supposed grievance,"Yeah, no. I don' mind tweetin' that twice.  #blm #likeThat"
a feeling that is oriented toward some real or supposed grievance,"He was incensed , stunned , at her action , and stood rigid with anger as he felt the slime roll down his cheek ."
a feeling that is oriented toward some real or supposed grievance,Mrs. Tittle- mouse began to get cross.
a feeling that is oriented toward some real or supposed grievance,"fuuuuu, helllla sleepy, had no lunch, now I'm working 4 to 10... gota wait till 6 to eat."
a feeling that is oriented toward some real or supposed grievance,@WinchesterGank If only. Lol I just wish once he understood the crazy of his rabid fans &amp; addressed it.
a feeling that is oriented toward some real or supposed grievance,People irritate me 🙄
a feeling that is oriented toward some real or supposed grievance,"LIVID Mia Farrow beat her adopted daughter Soon-Yi with a chair after finding out about her affair with Woody Allen , it was claimed yesterday ."
a feeling that is oriented toward some real or supposed grievance,Happy mothers day  I'm so hungry and the resturants are all closed... Damn
a feeling that is oriented toward some real or supposed grievance,@coltonflurry @StrangeFacesLA I cancelled by CBS all access live feeds before JC even said Vic won AFP. Paul.should have won IMO #bitter
a feeling that is oriented toward some real or supposed grievance,I get embarrassed at the slightest things and then I'll fret about it all day I hate it
a feeling that is oriented toward some real or supposed grievance,"Give an answer, cried the boy, ""or take yourself off, you have no business here at night."""
a feeling that is oriented toward some real or supposed grievance,@EliTheProphet_ @ChrisMellini this is an automatic L for me but ima keep trying fam  #thewengerway
a feeling that is oriented toward some real or supposed grievance,I am beginning to think sun blcok is a haox.
a feeling that is oriented toward some real or supposed grievance,I had an exam and I had it well prepared.  I did the first part very well but did not know the second part.
a feeling that is oriented toward some real or supposed grievance,"@gayla_weeks1 I try not to let my anger seep into reviews, but I resent having my time wasted on books like that. Time is precious."
a feeling that is oriented toward some real or supposed grievance,I missed the train and had to wait for the next for two hours. For this reason I missed an appointment which had been very important for me.
a feeling that is oriented toward some real or supposed grievance,There is a mad boy in our village. This boy hit me with a raw paw-paw in the face.
a feeling that is oriented toward some real or supposed grievance,"The second night the King""s daughter sent her maid-in-waiting, who was to see if she could succeed better in listening, but the servant took her mantle also away from her, and hunted her out with rods."
a feeling that is oriented toward some real or supposed grievance,"I had a date with my girlfriend, the time and place had not been fixed.  I asked her to phone me an hour later as it was midnight and I did not want to disturb her family.  I waited several hours for her call, she did not call me that night."
a feeling that is oriented toward some real or supposed grievance,My husband and I were invited at the house of our nieghbours then we got an invitation on the part of my parents which we had to refuse. A a result they called me by words that provoked my anger.
a feeling that is oriented toward some real or supposed grievance,"Stuck in an office, red hot"
a feeling that is oriented toward some real or supposed grievance,"@SusanHensThe shameful display I watched today has left me reeling with so much anger dt I feel like exploding, those clowns should watch it"
a feeling that is oriented toward some real or supposed grievance,"When the person I am going out with let me down in a situation that I was depending on them, and didn't show respect or care."
a feeling that is oriented toward some real or supposed grievance,Hates headaches! Maybe I'm not ready to rock
a feeling that is oriented toward some real or supposed grievance,@xxlaurenbeexx aha yeah  all else fails just push  yeah we are dont know what time were leaving yet though xx
a feeling that is oriented toward some real or supposed grievance,In children's hospital ER hoping Meredith does NOT have a broken elbow/arm
a feeling that is oriented toward some real or supposed grievance,"As soon as you come sailing back in it, said he, ""you shall have my daughter for wife."""
a feeling that is oriented toward some real or supposed grievance,"You have played me another trick, said he."
a feeling that is oriented toward some real or supposed grievance,"At an undeserved attitude toward a man, when human personality is not treated decently."
a feeling that is oriented toward some real or supposed grievance,I felt anger against a person who told bad things about me in my absence.
a feeling that is oriented toward some real or supposed grievance,"@thatgirlonline Dude you're always going to midnight screenings! xD. I wish I lived in a city. Well, I do (until tmrw!) but it's rubbish"
a feeling that is oriented toward some real or supposed grievance,When he saw this he was further enraged and started towards the seer with an axe .
a feeling that is oriented toward some real or supposed grievance,"SOMEONE LET SNAKES IN MY HOUSE, I BET IT @Ya_Boi_Huck I KILL THAT BUGGER WHEN I GET MY HANDS ON HIM #rage #HuckFP2"
a feeling that is oriented toward some real or supposed grievance,Absolutely fuming I've just scratched all my car 😡😡😡😡😡😡
a feeling that is oriented toward some real or supposed grievance,"@Miki_is_Rad yeah it was shit D: im so tired, i have a headache and now i have to play a game of rygby D: but ill be right  xxx &lt;33"
a feeling that is oriented toward some real or supposed grievance,wants to go to falkland but cant cause of stupid exams and mtbcut are going to be there
a feeling that is oriented toward some real or supposed grievance,Old Mr. Bouncer could no longer deny that he had invited company into the rabbit hole; but he refused to reply to the questions and reproaches of Flopsy.
a feeling that is oriented toward some real or supposed grievance,"Ah! wretch that I am! sighed she; ""why did I not marry King Grisly-beard?"""
a feeling that is oriented toward some real or supposed grievance,@kateracculia @themathofyou It's true! I reverse-engineered the drink. It's a scientific method. I hear it's all the rage.
a feeling that is oriented toward some real or supposed grievance,"@wmdev Every time I succeed with a code, I get &quot;We're Sorry. Your Credit Card Has Been Declined at this time.&quot;"
a feeling that is oriented toward some real or supposed grievance,"Ill put a screw into that business,"" said the little tailor."
a feeling that is oriented toward some real or supposed grievance,Flip flops are a menace! I've cut one of my feet  Ouchies.
a feeling that is oriented toward some real or supposed grievance,"Why to have vanity sizes?Now sizes S,XS(evenXXS sometimes) are too big, WTF?! Dear corporate jerks, Lithuania didn't need this. #rant"
a feeling that is oriented toward some real or supposed grievance,When I missed the tram after having run for it.
a feeling that is oriented toward some real or supposed grievance,"@smendler (1) Watch out for memes &amp; statements designed to make you feel outrage, but that don't give you anything to *do* about situation"
a feeling that is oriented toward some real or supposed grievance,When my boyfriend went away for a month long holiday without me.
a feeling that is oriented toward some real or supposed grievance,When I was put into a tennis team below my standard.
a feeling that is oriented toward some real or supposed grievance,"@gillian9 Aww, I had one yesterday, they suck"
a feeling that is oriented toward some real or supposed grievance,I wonder what American city will be next to protest about police shootings. Who's next? Smh. #whenwillitstop #angry #howmanymoretimes
a feeling that is oriented toward some real or supposed grievance,#oow16 #sting decent new song
a feeling that is oriented toward some real or supposed grievance,"The cook once more said: ""If you do not do it, it shall cost you your own life."""
a feeling that is oriented toward some real or supposed grievance,Being sexually assulted on a bus and noone helped (people only laughed).
a feeling that is oriented toward some real or supposed grievance,When I was robbed in a bus.
a feeling that is oriented toward some real or supposed grievance,Having a baby born too soon is #lifechanging 6 years on and it feels like only yesterday #sad #happy #angry #emotionalrollercoaster
a feeling that is oriented toward some real or supposed grievance,"A few weeks back, as I was in a hurry to leave the house, I left some of my things lying around.  This is something I never do. My uncle,who lives with us, as we live in a joint family, remarked that we were always doing things like  this.  This really got me mad."
a feeling that is oriented toward some real or supposed grievance,i'm getting ready for tonight (teachers dinner on the beach!) but it's raining and i hate this!
a feeling that is oriented toward some real or supposed grievance,"My mother was ill and asked me to prpare our lunch. I went to do it, and while I was working, she stayed behind me telling what I had, or not to do. I asked her to stop meddling, and to go to bed. When I went to ask for help to my sister, my mother said that I was proud, that I asked for help only when I wanted and that I wasn't able to cook by myself."
a feeling that is oriented toward some real or supposed grievance,Sitting in traffic while my car gets rained on. Just washed it on Sunday. Doesn't the weather know this is California?
a feeling that is oriented toward some real or supposed grievance,@Sissillie i honestly hope the theatre gets hit by a meteor before you get there
a feeling that is oriented toward some real or supposed grievance,Who allowed Pereira to start taking all the set pieces? fuming
a feeling that is oriented toward some real or supposed grievance,The government's announcement of the withdrawal of the student allowances in 1984.
a feeling that is oriented toward some real or supposed grievance,I hate being yelled and sworn at
a feeling that is oriented toward some real or supposed grievance,@paulbushnell25 @EE bad news if ordered online it hasn't gone through same happened to me had to re order on the phone
a feeling that is oriented toward some real or supposed grievance,"While in the army, I was treated unfairly by my superiors.  I was held responsible for a deed of which I was innocent."
a feeling that is oriented toward some real or supposed grievance,"When anger rises, think of the consequences. #quote #wisdom"
a feeling that is oriented toward some real or supposed grievance,"@coollike &quot;And I'm packing your ANGRY eyes, just incase&quot;"
a feeling that is oriented toward some real or supposed grievance,When boyfriend lied to me.
a feeling that is oriented toward some real or supposed grievance,@celticfish this is a travesty
a feeling that is oriented toward some real or supposed grievance,Anna Maria was still arguing in shrill tones.
a feeling that is oriented toward some real or supposed grievance,@CorningFootball  IT'S GAME DAY!!!!      T MINUS 14:30
a feeling that is oriented toward some real or supposed grievance,I have had it with job hunting. I try all day and nothing works  I bet I couldn't even work at the strip club because of my cider belly!
a feeling that is oriented toward some real or supposed grievance,if we let that in id be fuming poor keeping
a feeling that is oriented toward some real or supposed grievance,"Peter says : ` The Poles were furious that we wanted to show prostitutes in their hotel bar , claiming they never had them ."
a feeling that is oriented toward some real or supposed grievance,Mrs Friar looked offended but continued .
a feeling that is oriented toward some real or supposed grievance,@CorbettBarr @pjrvs @brianclark true. Just me spitting venom because I'm still bitter with Stripe. Like an old man yelling from his porch.
a feeling that is oriented toward some real or supposed grievance,"@NatalieAurora lmao according to the away, they're there. current focus: tripping, ugly pics, same dress, fat looking"
a feeling that is oriented toward some real or supposed grievance,"Sing! sing!"""
a feeling that is oriented toward some real or supposed grievance,Glad I didn't watch smackdown because I can't see my men @JasonJordanJJ @WWEGable lose. #sohurt #revenge
a feeling that is oriented toward some real or supposed grievance,Wish my headache/almost migraine would go away!
a feeling that is oriented toward some real or supposed grievance,Going to Cowell Hospital and finding out tediously that I had a stress fracture. The anger came when the senile doctors found out 4 weeks later that I had 2 stress fractures in one foot and should have had crutches. I was in distinct pain and barely could walk to classes. They said it would be better in 2 weeks.
a feeling that is oriented toward some real or supposed grievance,"There was a woman who wanted me to call her mother , and then called me awkward , exasperated and frightened with the dreams and the screams ."
a feeling that is oriented toward some real or supposed grievance,@zanylikethat Awwwww.
a feeling that is oriented toward some real or supposed grievance,"Is it me, or is Ding wearing the look of a man who's just found his arch enemy in bed with his missus? #angryman #scowl"
a feeling that is oriented toward some real or supposed grievance,ooo my goddddd; vodafone trouble. no network
a feeling that is oriented toward some real or supposed grievance,"When anybody wants to make me feel guilty. For example: I should do something for my mother, but things didn't go as she hoped. Then she threatens: I'll do it myself."
a feeling that is oriented toward some real or supposed grievance,Angry when our team (small boys) lost the county championship football final.
a feeling that is oriented toward some real or supposed grievance,My class leader told me the university won't let all of us go to your lectures because we are not All English Class.
a feeling that is oriented toward some real or supposed grievance,"The miser crept into the bush to find it; but directly he had got into the middle, his companion took up his fiddle and played away, and the miser began to dance and spring about, capering higher and higher in the air."
a feeling that is oriented toward some real or supposed grievance,@JaredWyand Maybe if it was transgender the media would cover it #outrage
a feeling that is oriented toward some real or supposed grievance,@cindaxo the straightener's another 110 pounds though. Seems pricey
a feeling that is oriented toward some real or supposed grievance,"THIS TWITTER SHIT KAN EAT THE GUN NOW ....AN I DON'T EVEN BE GOIN IN SMFH, OVER REACTIN 4 NOTHIN, I NEED 2 STAY STRONG"
a feeling that is oriented toward some real or supposed grievance,I can't remember being truly angry. Usually it's just disappointment that I feel. One situation would be with my brother. He and I used to be close but now he seems to be avoiding me.
a feeling that is oriented toward some real or supposed grievance,@boriqua206 Cause I'm not hearing from you guys!!!
a feeling that is oriented toward some real or supposed grievance,A girl entered in the division where I work and greeted everybody but not me.
a feeling that is oriented toward some real or supposed grievance,@PAULROVlA the first resulted in me angrily sobbing and ranting about finnick in the cinema
a feeling that is oriented toward some real or supposed grievance,"He turned a livid , stubbled face to the crowd ."
a feeling that is oriented toward some real or supposed grievance,"When my mother slapped me in the face, I felt anger at that moment."
a feeling that is oriented toward some real or supposed grievance,at famous dave's with my mom. so hungry.
